"numThree","rmse"
10,2.2161323524443
11,2.18250168601709
12,2.21746697006147
13,2.19466809502879
14,2.24135419758976
15,2.22545786792145
16,2.22545786792145
17,2.18521118636028
18,2.14972132499725
19,2.15796309832393
20,2.20139815711603
21,2.22146601202979
22,2.2094471717454
23,2.15933366886434
24,2.13175484008477
25,2.20542633643561
26,2.19197028442692
27,2.19870860430099
28,2.1933196045205
29,2.17299182951162
30,2.18114567365505
31,2.23209509669952
32,2.15247208917434
33,2.19197028442692
34,2.16890341228795
35,2.19466809502879
36,2.20408442798375
37,2.16890341228795
38,2.13868288837813
39,2.24267380570973
40,2.16753889286236
41,2.18791733128121
42,2.18521118636028
43,2.18521118636028
44,2.18926914934734
45,2.19197028442692
46,2.20005379170386
47,2.19870860430099
48,2.20005379170386
49,2.22279742719998
50,2.19197028442692
51,2.20005379170386
52,2.20005379170386
53,2.17571317288168
54,2.17571317288168
55,2.20676742888939
56,2.22412804535399
57,2.18926914934734
58,2.20274170204252
59,2.20005379170386
60,2.20274170204252
61,2.17026707379475
62,2.20139815711603
63,2.16070337002894
64,2.18926914934734
65,2.20005379170386
66,2.18791733128121
67,2.17978881773919
68,2.22013379840951
69,2.1906201332151
70,2.19197028442692
71,2.21479693059815
72,2.19601575748003
73,2.18656467746952
74,2.20542633643561
75,2.18250168601709
76,2.18791733128121
77,2.19870860430099
78,2.17707256893614
79,2.20005379170386
80,2.20005379170386
81,2.1933196045205
82,2.20676742888939
83,2.18385685639668
84,2.18656467746952
85,2.21880078490092
86,2.17435292693886
87,2.16753889286236
88,2.20274170204252
89,2.20139815711603
90,2.20676742888939
91,2.19197028442692
92,2.18250168601709
93,2.20408442798375
94,2.17026707379475
95,2.16617351389673
96,2.1933196045205
97,2.17162987899894
98,2.2094471717454
99,2.18926914934734
100,2.18656467746952
